EJERCICIO;CENTRO GESTOR;SECCION;SERVICIO;FUNCIONAL;ECONOMICA;CAPITULO;FINANCIACION;DESCRIPCION;IMPORTE
2021;100010000;1000;10;11A;21600;2;101;EQUIPOS DE PROCESOS Y TRANSMISIONES DE DATOS;160.901,00
2021;100010000;1000;10;11A;21601;2;101;REPARACIÓN Y MANTENIMIENTO CENTROS PROCESO DATOS;59.259,00
2021;100010000;1000;10;11A;21602;2;101;MANTENIMIENTO Y ADAPTACIÓN PROGRAMAS INFORMÁTICOS;193.529,00
2021;100010000;1000;10;11A;22000;2;101;ORDINARIO NO INVENTARIABLE;120.000,00
2021;100010000;1000;10;11A;22001;2;101;PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES;21.000,00
2021;100010000;1000;10;11A;22002;2;101;MATERIAL INFORMATICO NO INVENTARIABLE;55.000,00
2021;100010000;1000;10;11A;22101;2;101;AGUA;26.000,00
2021;100010000;1000;10;11A;22102;2;101;GAS;3.000,00
2021;100010000;1000;10;11A;22103;2;101;COMBUSTIBLE;70.000,00
2021;100010000;1000;10;11A;22104;2;101;VESTUARIO;72.000,00
2021;100010000;1000;10;11A;22109;2;101;OTROS SUMINISTROS;90.000,00
2021;100010000;1000;10;11A;22116;2;101;ENERGÍA ELÉCTRICA CONTRATACIÓN CENTRALIZADA;2.381.940,00
2021;100010000;1000;10;11A;22201;2;101;POSTALES Y MENSAJERIA;100.000,00
2021;100010000;1000;10;11A;22204;2;101;SERVICIOS DE ACCESO A DATOS Y COMUN.TRONCALES INF.;538.778,00
2021;100010000;1000;10;11A;22216;2;101;TELEFÓNICAS CONTRATACIÓN CENTRALIZADA;491.336,00
2021;100010000;1000;10;11A;22309;2;101;OTROS;15.000,00
2021;100010000;1000;10;11A;22501;2;101;LOCALES;20.000,00
2021;100010000;1000;10;11A;22601;2;101;ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS;99.380,00
2021;100010000;1000;10;11A;22602;2;101;INFORMACION, DIVULGACION Y PUBLICIDAD;25.000,00
2021;100010000;1000;10;11A;22603;2;101;JURIDICOS Y CONTENCIOSOS;15.000,00
2021;100010000;1000;10;11A;22606;2;101;REUNIONES, CONFERENCIAS Y CURSOS;375.878,00
2021;100010000;1000;10;11A;22700;2;101;LIMPIEZA Y ASEO;1.062.087,00
2021;100010000;1000;10;11A;22701;2;101;SEGURIDAD;846.000,00
2021;100010000;1000;10;11A;22704;2;101;CUSTODIA, DEPOSITO Y ALMACENAJE;20.000,00
2021;100010000;1000;10;11A;22706;2;101;ESTUDIOS Y TRABAJOS TECNICOS;1.550.000,00
2021;100010000;1000;10;11A;22707;2;101;EDICIÓN DE PUBLICACIONES;10.000,00
2021;100010000;1000;10;11A;22708;2;101;ESTUDIOS Y TRABAJOS TÉCNICOS DEL ÁREA TIC;125.577,00
2021;100010000;1000;10;11A;22709;2;101;OTROS;896.945,00
2021;100010000;1000;10;11A;22712;2;101;TRADUCCIONES E INTERPRETACIONES;3.000,00
2021;100010000;1000;10;11A;23000;2;101;DIETAS;209.830,00
2021;100010000;1000;10;11A;23100;2;101;LOCOMOCION;155.671,00
2021;100010000;1000;10;11A;23200;2;101;TRASLADOS;62.825,00
2021;100010000;1000;10;11A;23300;2;101;OTRAS INDEMNIZACIONES;112.937,00
2021;100010000;1000;10;11A;41101;4;101;AL INSTITUTO ANDALUZ DE ADMINISTRACION PUBLICA;7.810.402,00
2021;100010000;1000;10;11A;41102;4;101;A LA AGENCIA DIGITAL DE ANDALUCÍA;66.099.034,00
2021;100010000;1000;10;11A;41401;4;101;AL CONSORCIO FERNANDO DE LOS RÍOS;2.666.124,00
2021;100010000;1000;10;11A;44484;4;101;TF FPA CENTRO DE ESTUDIOS ANDALUCES;2.818.018,00
2021;100010000;1000;10;11A;47103;4;101;A EMPRESAS PRIVADAS;111.600,00
2021;100010000;1000;10;11A;48001;4;101;PREMIOS, CONCURSOS Y CERTAMENES;50.000,00
2021;100010000;1000;10;11A;48004;4;101;FUNDACIÓN NAO VICTORIA. V CENTENARIO CIRCUNNAVEGACIÓN DE LA TIERRA;50.000,00
2021;100010000;1000;10;11A;60300;6;101;MAQUINARIA;46.000,00
2021;100010000;1000;10;11A;60300;6;101;MAQUINARIA;70.000,00
2021;100010000;1000;10;11A;60300;6;101;MAQUINARIA;160.000,00
2021;100010000;1000;10;11A;60500;6;101;MOBILIARIO Y ENSERES;91.500,00
2021;100010000;1000;10;11A;60600;6;101;ADQUISICIÓN EQUIPOS PARA PROCESAMIENTO INFORMACIÓN;103.950,00
2021;100010000;1000;10;11A;60600;6;101;ADQUISICIÓN EQUIPOS PARA PROCESAMIENTO INFORMACIÓN;30.000,00
2021;100010000;1000;10;11A;60601;6;101;ADQUISICIÓN DE EQUIPOS OFIMÁTICOS;195.000,00
2021;100010000;1000;10;11A;60602;6;101;ADQUISICIÓN DE EQUIPOS DE TRASMISIONES DE DATOS;560.000,00
2021;100010000;1000;10;11A;60905;6;101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;754.000,00
2021;100010000;1000;10;11A;60905;6;101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;120.000,00
2021;100010000;1000;10;11A;60906;6;101;PROGRAMAS INFORMÁTICOS BAJO LICENCIA;118.000,00
2021;100010000;1000;10;11A;60906;6;101;PROGRAMAS INFORMÁTICOS BAJO LICENCIA;242.000,00
2021;100010000;1000;10;11A;60909;6;101;OTRO INMOVILIZADO INMATERIAL;244.000,00
2021;100010000;1000;10;11A;60909;6;101;OTRO INMOVILIZADO INMATERIAL;3.484.656,00
2021;100010000;1000;10;11A;60909;6;101;OTRO INMOVILIZADO INMATERIAL;1.020.000,00
2021;100010000;1000;10;11A;60909;6;101;OTRO INMOVILIZADO INMATERIAL;145.000,00
2021;100010000;1000;10;11A;66200;6;101;EDIFICIOS Y OTRAS CONSTRUCCIONES;250.000,00
2021;100010000;1000;10;11A;66300;6;101;MAQUINARIA;50.000,00
2021;100010000;1000;10;11A;66905;6;101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;470.000,00
2021;100010000;1000;10;11A;71101;7;101;AL INSTITUTO ANDALUZ DE ADMINISTRACION PUBLICA;362.000,00
2021;100010000;1000;10;11A;71102;7;101;A LA AGENCIA DIGITAL DE ANDALUCÍA;53.817.156,00
2021;100010000;1000;10;11A;76008;7;101;A AYUNTAMIENTOS;383.993,00
2021;100010000;1000;10;12A;10000;1;101;RETRIBUCIONES DINERARIAS;127.026,00
2021;100010000;1000;10;12A;12000;1;101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);1.672.453,00
2021;100010000;1000;10;12A;12001;1;101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);518.232,00
2021;100010000;1000;10;12A;12002;1;101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);804.554,00
2021;100010000;1000;10;12A;12003;1;101;SUELDO DEL SUBGRUPO C2 (ADMINISTRACIÓN GENERAL);145.484,00
2021;100010000;1000;10;12A;12005;1;101;TRIENIOS (ADMINISTRACIÓN GENERAL);700.000,00
2021;100010000;1000;10;12A;12100;1;101;COMPLEMENTO DE DESTINO;2.035.702,00
2021;100010000;1000;10;12A;12101;1;101;COMPLEMENTO ESPECIFICO;3.576.420,00
2021;100010000;1000;10;12A;15000;1;101;PERSONAL FUNCIONARIO;160.877,00
2021;100010000;1000;10;12A;15100;1;101;POR SERVICIOS EXTRAORDINARIOS;125.000,00
2021;100010000;1000;10;12A;16000;1;101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);1.950.516,00
2021;100010000;1000;10;12A;16202;1;101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (A.G.);51.135,00
2021;100010000;1000;10;12A;19000;1;101;ADMINISTRACIÓN GENERAL;350.641,00
2021;100010000;1000;10;12A;22602;2;101;INFORMACION, DIVULGACION Y PUBLICIDAD;30.000,00
2021;100010000;1000;10;12A;22603;2;101;JURIDICOS Y CONTENCIOSOS;212.000,00
2021;100010000;1000;10;12A;22606;2;101;REUNIONES, CONFERENCIAS Y CURSOS;35.300,00
2021;100010000;1000;10;12A;22609;2;101;OTROS;27.600,00
2021;100010000;1000;10;12A;22706;2;101;ESTUDIOS Y TRABAJOS TECNICOS;2.650.000,00
2021;100010000;1000;10;12A;22707;2;101;EDICIÓN DE PUBLICACIONES;18.000,00
2021;100010000;1000;10;12A;23300;2;101;OTRAS INDEMNIZACIONES;83.000,00
2021;100010000;1000;10;12A;48200;4;101;A FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO;1.713.189,00
2021;100010000;1000;10;12A;60905;6;101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;129.418,00
2021;100010000;1000;10;12C;12000;1;101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);31.856,00
2021;100010000;1000;10;12C;12001;1;101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);14.006,00
2021;100010000;1000;10;12C;12002;1;101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);53.637,00
2021;100010000;1000;10;12C;12005;1;101;TRIENIOS (ADMINISTRACIÓN GENERAL);33.147,00
2021;100010000;1000;10;12C;12100;1;101;COMPLEMENTO DE DESTINO;63.210,00
2021;100010000;1000;10;12C;12101;1;101;COMPLEMENTO ESPECIFICO;110.046,00
2021;100010000;1000;10;12C;15000;1;101;PERSONAL FUNCIONARIO;5.524,00
2021;100010000;1000;10;12C;16000;1;101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);80.000,00
2021;100010000;1000;10;22B;10000;1;101;RETRIBUCIONES DINERARIAS;127.026,00
2021;100010000;1000;10;22B;12000;1;101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);238.922,00
2021;100010000;1000;10;22B;12001;1;101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);224.100,00
2021;100010000;1000;10;22B;12002;1;101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);203.820,00
2021;100010000;1000;10;22B;12003;1;101;SUELDO DEL SUBGRUPO C2 (ADMINISTRACIÓN GENERAL);636.493,00
2021;100010000;1000;10;22B;12005;1;101;TRIENIOS (ADMINISTRACIÓN GENERAL);360.117,00
2021;100010000;1000;10;22B;12100;1;101;COMPLEMENTO DE DESTINO;816.105,00
2021;100010000;1000;10;22B;12101;1;101;COMPLEMENTO ESPECIFICO;1.467.312,00
2021;100010000;1000;10;22B;13002;1;101;SALARIOS GRUPO III;84.838,00
2021;100010000;1000;10;22B;13003;1;101;SALARIOS GRUPO IV;52.027,00
2021;100010000;1000;10;22B;13005;1;101;ANTIGUEDAD (INCLUIDO COMPLEM. PERSONAL NO ABSORB.);63.240,00
2021;100010000;1000;10;22B;13100;1;101;COMPLEMENTO DE CATEGORIA;77.838,00
2021;100010000;1000;10;22B;13101;1;101;COMPLEMENTO DE PUESTO DE TRABAJO;73.954,00
2021;100010000;1000;10;22B;13102;1;101;COMPLEMENTO DE CONVENIO;49.913,00
2021;100010000;1000;10;22B;13109;1;101;OTROS COMPLEMENTOS;13.777,00
2021;100010000;1000;10;22B;15000;1;101;PERSONAL FUNCIONARIO;82.855,00
2021;100010000;1000;10;22B;15001;1;101;PERSONAL LABORAL (ADMINISTRACIÓN GENERAL);3.331,00
2021;100010000;1000;10;22B;15003;1;101;PERSONAL DE EMERGENCIAS;65.000,00
2021;100010000;1000;10;22B;15005;1;101;PERSONAL DE SEGURIDAD;345.862,00
2021;100010000;1000;10;22B;15200;1;101;POR SERVICIOS EXTRAORDINARIOS;21.300,00
2021;100010000;1000;10;22B;16000;1;101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);1.250.000,00
2021;100010000;1000;10;22B;16202;1;101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (A.G.);15.225,00
2021;100010000;1000;10;22B;20400;2;101;ARRENDAMIENTOS DE ELEMENTOS DE TRANSPORTE;1.500,00
2021;100010000;1000;10;22B;21300;2;101;MAQUINARIA;2.000,00
2021;100010000;1000;10;22B;21400;2;101;ELEMENTOS DE TRANSPORTE;3.000,00
2021;100010000;1000;10;22B;21600;2;101;EQUIPOS DE PROCESOS Y TRANSMISIONES DE DATOS;2.400,00
2021;100010000;1000;10;22B;22000;2;101;ORDINARIO NO INVENTARIABLE;6.000,00
2021;100010000;1000;10;22B;22001;2;101;PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES;18.550,00
2021;100010000;1000;10;22B;22103;2;101;COMBUSTIBLE;7.000,00
2021;100010000;1000;10;22B;22104;2;101;VESTUARIO;6.000,00
2021;100010000;1000;10;22B;22109;2;101;OTROS SUMINISTROS;1.500,00
2021;100010000;1000;10;22B;22201;2;101;POSTALES Y MENSAJERIA;4.500,00
2021;100010000;1000;10;22B;22501;2;101;LOCALES;2.000,00
2021;100010000;1000;10;22B;22602;2;101;INFORMACION, DIVULGACION Y PUBLICIDAD;18.150,00
2021;100010000;1000;10;22B;22606;2;101;REUNIONES, CONFERENCIAS Y CURSOS;15.000,00
2021;100010000;1000;10;22B;22706;2;101;ESTUDIOS Y TRABAJOS TECNICOS;129.233,00
2021;100010000;1000;10;22B;48003;4;101;A FUNDACIÓN DEL TORO LIDIA PARA PROYECTO ANDALUZ DE TAUROMAQUIA;172.500,00
2021;100010000;1000;10;22B;48501;4;101;ESCUELAS DE TAUROMAQUIA PEDRO ROMERO. FORMACION ALUMNADO;230.000,00
2021;100010000;1000;10;22B;48801;4;101;COLEGIO PSICÓLOGOS AND. OCC. FORMAC. Y ASESOR. TEC. SITUAC. EMERGENCIA;30.000,00
2021;100010000;1000;10;22B;48802;4;101;COLEGIO PSIC. AND. ORIENT. FORMAC. ASES. TECN. SITUACIONES EMERGENCIA;30.000,00
2021;100010000;1000;10;22B;66400;6;101;ELEMENTOS DE TRANSPORTE;25.000,00
2021;100010000;1000;10;31J;10000;1;101;RETRIBUCIONES DINERARIAS;62.388,00
2021;100010000;1000;10;31J;12000;1;101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);47.784,00
2021;100010000;1000;10;31J;12001;1;101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);112.050,00
2021;100010000;1000;10;31J;12002;1;101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);42.910,00
2021;100010000;1000;10;31J;12005;1;101;TRIENIOS (ADMINISTRACIÓN GENERAL);60.000,00
2021;100010000;1000;10;31J;12100;1;101;COMPLEMENTO DE DESTINO;128.616,00
2021;100010000;1000;10;31J;12101;1;101;COMPLEMENTO ESPECIFICO;222.878,00
2021;100010000;1000;10;31J;15000;1;101;PERSONAL FUNCIONARIO;10.357,00
2021;100010000;1000;10;31J;16000;1;101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);155.000,00
2021;100010000;1000;10;31J;22602;2;101;INFORMACION, DIVULGACION Y PUBLICIDAD;35.000,00
2021;100010000;1000;10;31J;22606;2;101;REUNIONES, CONFERENCIAS Y CURSOS;50.000,00
2021;100010000;1000;10;31J;22706;2;101;ESTUDIOS Y TRABAJOS TECNICOS;80.000,00
2021;100010000;1000;10;31J;22707;2;101;EDICIÓN DE PUBLICACIONES;15.000,00
2021;100010000;1000;10;31J;22709;2;101;OTROS;10.000,00
2021;100010000;1000;10;31J;23400;2;101;CONSEJO DE COMUNIDADES ANDALUZAS;2.000,00
2021;100010000;1000;10;31J;44600;4;101;AL RESTO ENT.INCL. CN SUBS.ADMON.REG.CA AND(S1312);3.000,00
2021;100010000;1000;10;31J;46100;4;101;PREMIOS ANDALUCIA MIGRACIONES;3.000,00
2021;100010000;1000;10;31J;47102;4;101;ANDALUCIA MIGRACIONES;3.000,00
2021;100010000;1000;10;31J;48102;4;101;PREMIOS AND. MIGRACIONES A FAM. E INST. SIN FINES LUCRO;6.000,00
2021;100010000;1000;10;31J;48701;4;101;PROMOCION;1.400.000,00
2021;100010000;1000;10;31J;60909;6;101;OTRO INMOVILIZADO INMATERIAL;53.056,00
2021;100010000;1000;10;31J;60909;6;101;OTRO INMOVILIZADO INMATERIAL;66.944,00
2021;100010000;1000;10;31J;76400;7;101;INFRAESTRUCTURAS PARA ATENCIÓN A PERSONAS INMIGRANTES;800.000,00
2021;100010000;1000;10;31J;76700;7;101;A MANCOMUNIDADES;100.000,00
2021;100010000;1000;10;31J;76800;7;101;INFRAESTRUCTURAS PARA ATENCIÓN A PERSONAS INMIGRANTES;100.000,00
2021;100010000;1000;10;52C;10000;1;101;RETRIBUCIONES DINERARIAS;62.388,00
2021;100010000;1000;10;52C;12000;1;101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);254.850,00
2021;100010000;1000;10;52C;12001;1;101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);98.044,00
2021;100010000;1000;10;52C;12002;1;101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);107.274,00
2021;100010000;1000;10;52C;12003;1;101;SUELDO DEL SUBGRUPO C2 (ADMINISTRACIÓN GENERAL);18.186,00
2021;100010000;1000;10;52C;12005;1;101;TRIENIOS (ADMINISTRACIÓN GENERAL);104.743,00
2021;100010000;1000;10;52C;12100;1;101;COMPLEMENTO DE DESTINO;312.394,00
2021;100010000;1000;10;52C;12101;1;101;COMPLEMENTO ESPECIFICO;548.343,00
2021;100010000;1000;10;52C;15000;1;101;PERSONAL FUNCIONARIO;24.166,00
2021;100010000;1000;10;52C;16000;1;101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);403.000,00
2021;100010000;1000;10;52C;16202;1;101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (A.G.);6.000,00
2021;100010000;1000;10;52C;21301;2;101;INSTALACIONES;76.000,00
2021;100010000;1000;10;52C;22001;2;101;PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES;26.215,00
2021;100010000;1000;10;52C;22606;2;101;REUNIONES, CONFERENCIAS Y CURSOS;35.029,00
2021;100010000;1000;10;52C;22612;2;101;PUBLICIDAD INSTITUCIONAL;540.000,00
2021;100010000;1000;10;52C;22616;2;101;CONTRATOS DE PATROCINIO INSTITUCIONAL;100.000,00
2021;100010000;1000;10;52C;22706;2;101;ESTUDIOS Y TRABAJOS TECNICOS;120.400,00
2021;100010000;1000;10;52C;22709;2;101;OTROS;9.200,00
2021;100010000;1000;10;52C;41301;4;101;A LA AGENCIA PUBLICA EMPRESARIAL DE LA RADIO Y TELEVISION DE ANDALUCIA;6.926.000,00
2021;100010000;1000;10;52C;44350;4;101;TF CANAL SUR RADIO Y TELEVISIÓN S.A;133.712.050,00
2021;100010000;1000;10;52C;46002;4;101;PREMIOS, CONCURSOS Y CERTAMENES;4.000,00
2021;100010000;1000;10;52C;46003;4;101;MANTENIMIENTO SERVICIO PÚBLICO RADIOFÓNICO MUNICIPAL;230.000,00
2021;100010000;1000;10;52C;47000;4;101;PREMIOS, CONCURSOS Y CERTÁMENES. COMUNICACIÓN SOCIAL;8.000,00
2021;100010000;1000;10;52C;47102;4;101;DESARROLLO ACTIVIDADES PREVENCIÓN DESINFORMACIÓN;300.000,00
2021;100010000;1000;10;52C;48000;4;101;PREMIOS, CONCURSOS Y CERTÁMENES. COMUNICACIÓN SOCIAL;12.000,00
2021;100010000;1000;10;52C;48401;4;101;ASOC.EMIS.MUN.R. Y TV. GASTOS FINANC. COSTES SV. COORD.MEDIOS PUBLICOS;153.500,00
2021;100010000;1000;10;52C;48404;4;101;DESARROLLO ACTIVIDADES PREVENCIÓN DESINFORMACIÓN;100.000,00
2021;100010000;1000;10;52C;60300;6;101;MAQUINARIA;90.000,00
2021;100010000;1000;10;52C;60905;6;101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;80.000,00
2021;100010000;1000;10;52C;60909;6;101;OTRO INMOVILIZADO INMATERIAL;13.645.592,00
2021;100010000;1000;10;52C;71301;7;101;A LA AGENCIA PUBLICA EMPRESARIAL DE LA RADIO Y TELEVISION DE ANDALUCIA;940.000,00
2021;100010000;1000;10;52C;74350;7;101;TF CANAL SUR RADIO Y TELEVISIÓN S.A;2.550.000,00
2021;100010000;1000;10;82A;10000;1;101;RETRIBUCIONES DINERARIAS;209.434,00
2021;100010000;1000;10;82A;11000;1;101;RETRIBUCIONES;103.139,00
2021;100010000;1000;10;82A;12000;1;101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);143.353,00
2021;100010000;1000;10;82A;12001;1;101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);84.038,00
2021;100010000;1000;10;82A;12002;1;101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);139.456,00
2021;100010000;1000;10;82A;12005;1;101;TRIENIOS (ADMINISTRACIÓN GENERAL);121.397,00
2021;100010000;1000;10;82A;12100;1;101;COMPLEMENTO DE DESTINO;250.536,00
2021;100010000;1000;10;82A;12101;1;101;COMPLEMENTO ESPECIFICO;453.770,00
2021;100010000;1000;10;82A;13001;1;101;SALARIOS GRUPO II;14.225,00
2021;100010000;1000;10;82A;13005;1;101;ANTIGUEDAD (INCLUIDO COMPLEM. PERSONAL NO ABSORB.);3.165,00
2021;100010000;1000;10;82A;13100;1;101;COMPLEMENTO DE CATEGORIA;6.340,00
2021;100010000;1000;10;82A;13101;1;101;COMPLEMENTO DE PUESTO DE TRABAJO;3.320,00
2021;100010000;1000;10;82A;13102;1;101;COMPLEMENTO DE CONVENIO;5.603,00
2021;100010000;1000;10;82A;15000;1;101;PERSONAL FUNCIONARIO;19.333,00
2021;100010000;1000;10;82A;15001;1;101;PERSONAL LABORAL (ADMINISTRACIÓN GENERAL);238
2021;100010000;1000;10;82A;16000;1;101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);486.880,00
2021;100010000;1000;10;82A;16202;1;101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (A.G.);21.246,00
2021;100010000;1000;10;82A;22000;2;101;ORDINARIO NO INVENTARIABLE;1.010,00
2021;100010000;1000;10;82A;22001;2;101;PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES;4.000,00
2021;100010000;1000;10;82A;22201;2;101;POSTALES Y MENSAJERIA;1.150,00
2021;100010000;1000;10;82A;22302;2;101;ENTES PRIVADOS;1.825,00
2021;100010000;1000;10;82A;22606;2;101;REUNIONES, CONFERENCIAS Y CURSOS;105.750,00
2021;100010000;1000;10;82A;22608;2;101;PREMIOS, CONCURSOS Y CERTAMENES;1.500,00
2021;100010000;1000;10;82A;22611;2;101;CUOTAS PARTICIP. ENT.Y ORG. NACIONALES E INTERNAC.;82.189,00
2021;100010000;1000;10;82A;22706;2;101;ESTUDIOS Y TRABAJOS TECNICOS;44.842,00
2021;100010000;1000;10;82A;22707;2;101;EDICIÓN DE PUBLICACIONES;50.000,00
2021;100010000;1000;10;82A;23400;2;101;CONSEJO DE COMUNIDADES ANDALUZAS;18.270,00
2021;100010000;1000;10;82A;40500;4;101;CASA ARABE E INSTITUTO INTERNACIONAL;60.000,00
2021;100010000;1000;10;82A;44103;4;101;FOMENTO DE LA COOPERACION CON REGIONES PORTUGUESAS;120.000,00
2021;100010000;1000;10;82A;44107;4;101;UNIVERSIDAD DE CÓRDOBA. GASTOS DEL CENTRO DE DOCUMENTACIÓN EUROPEA;60.000,00
