EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2021;0100010000;11A;22708;0101;ESTUDIOS Y TRABAJOS TÉCNICOS DEL ÁREA TIC;125577,00
2021;0100010000;11A;22709;0101;OTROS;896945,00
2021;0100010000;11A;22712;0101;TRADUCCIONES E INTERPRETACIONES;3000,00
2021;0100010000;11A;23000;0101;DIETAS;209830,00
2021;0100010000;11A;23100;0101;LOCOMOCION;155671,00
2021;0100010000;11A;23200;0101;TRASLADOS;62825,00
2021;0100010000;11A;23300;0101;OTRAS INDEMNIZACIONES;112937,00
2021;0100010000;11A;41101;0101;AL INSTITUTO ANDALUZ DE ADMINISTRACION PUBLICA;7810402,00
2021;0100010000;11A;41102;0101;A LA AGENCIA DIGITAL DE ANDALUCÍA;66099034,00
2021;0100010000;11A;41401;0101;AL CONSORCIO FERNANDO DE LOS RÍOS;2666124,00
2021;0100010000;11A;44484;0101;TF FPA CENTRO DE ESTUDIOS ANDALUCES;2818018,00
2021;0100010000;11A;47103;0101;A EMPRESAS PRIVADAS;111600,00
2021;0100010000;11A;48001;0101;PREMIOS, CONCURSOS Y CERTAMENES;50000,00
2021;0100010000;11A;48004;0101;FUNDACIÓN NAO VICTORIA V CENTENARIO CIRCUNNAVEGACIÓN DE LA TIERRA;50000,00
2021;0100010000;11A;60300;0101;MAQUINARIA;46000,00
2021;0100010000;11A;60300;0101;MAQUINARIA;70000,00
2021;0100010000;11A;60300;0101;MAQUINARIA;160000,00
2021;0100010000;11A;60500;0101;MOBILIARIO Y ENSERES;91500,00
2021;0100010000;11A;60600;0101;ADQUISICIÓN EQUIPOS PARA PROCESAMIENTO INFORMACIÓN;103950,00
2021;0100010000;11A;60600;0101;ADQUISICIÓN EQUIPOS PARA PROCESAMIENTO INFORMACIÓN;30000,00
2021;0100010000;11A;60601;0101;ADQUISICIÓN DE EQUIPOS OFIMÁTICOS;195000,00
2021;0100010000;11A;60602;0101;ADQUISICIÓN DE EQUIPOS DE TRASMISIONES DE DATOS;560000,00
2021;0100010000;11A;60905;0101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;754000,00
2021;0100010000;11A;60905;0101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;120000,00
2021;0100010000;11A;60906;0101;PROGRAMAS INFORMÁTICOS BAJO LICENCIA;118000,00
2021;0100010000;11A;60906;0101;PROGRAMAS INFORMÁTICOS BAJO LICENCIA;242000,00
2021;0100010000;11A;60909;0101;OTRO INMOVILIZADO INMATERIAL;244000,00
2021;0100010000;11A;60909;0101;OTRO INMOVILIZADO INMATERIAL;3484656,00
2021;0100010000;11A;60909;0101;OTRO INMOVILIZADO INMATERIAL;1020000,00
2021;0100010000;11A;60909;0101;OTRO INMOVILIZADO INMATERIAL;145000,00
2021;0100010000;11A;66200;0101;EDIFICIOS Y OTRAS CONSTRUCCIONES;250000,00
2021;0100010000;11A;66300;0101;MAQUINARIA;50000,00
2021;0100010000;11A;66905;0101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;470000,00
2021;0100010000;11A;71101;0101;AL INSTITUTO ANDALUZ DE ADMINISTRACION PUBLICA;362000,00
2021;0100010000;11A;71102;0101;A LA AGENCIA DIGITAL DE ANDALUCÍA;53817156,00
2021;0100010000;11A;76008;0101;A AYUNTAMIENTOS;383993,00
2021;0100010000;12A;10000;0101;RETRIBUCIONES DINERARIAS;127026,00
2021;0100010000;12A;12000;0101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);1672453,00
2021;0100010000;12A;12001;0101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);518232,00
2021;0100010000;12A;12002;0101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);804554,00
2021;0100010000;12A;12003;0101;SUELDO DEL SUBGRUPO C2 (ADMINISTRACIÓN GENERAL);145484,00
2021;0100010000;12A;12005;0101;TRIENIOS (ADMINISTRACIÓN GENERAL);700000,00
2021;0100010000;12A;12100;0101;COMPLEMENTO DE DESTINO;2035702,00
2021;0100010000;12A;12101;0101;COMPLEMENTO ESPECIFICO;3576420,00
2021;0100010000;12A;15000;0101;PERSONAL FUNCIONARIO;160877,00
2021;0100010000;12A;15100;0101;POR SERVICIOS EXTRAORDINARIOS;125000,00
2021;0100010000;12A;16000;0101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);1950516,00
2021;0100010000;12A;16202;0101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (AG);51135,00
2021;0100010000;12A;19000;0101;ADMINISTRACIÓN GENERAL;350641,00
2021;0100010000;12A;22602;0101;INFORMACION, DIVULGACION Y PUBLICIDAD;30000,00
2021;0100010000;12A;22603;0101;JURIDICOS Y CONTENCIOSOS;212000,00
2021;0100010000;12A;22606;0101;REUNIONES, CONFERENCIAS Y CURSOS;35300,00
2021;0100010000;12A;22609;0101;OTROS;27600,00
2021;0100010000;12A;22706;0101;ESTUDIOS Y TRABAJOS TECNICOS;2650000,00
2021;0100010000;12A;22707;0101;EDICIÓN DE PUBLICACIONES;18000,00
2021;0100010000;12A;23300;0101;OTRAS INDEMNIZACIONES;83000,00
2021;0100010000;12A;48200;0101;A FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO;1713189,00
2021;0100010000;12A;60905;0101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;129418,00
2021;0100010000;12C;12000;0101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);31856,00
2021;0100010000;12C;12001;0101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);14006,00
2021;0100010000;12C;12002;0101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);53637,00
2021;0100010000;12C;12005;0101;TRIENIOS (ADMINISTRACIÓN GENERAL);33147,00
2021;0100010000;12C;12100;0101;COMPLEMENTO DE DESTINO;63210,00
2021;0100010000;12C;12101;0101;COMPLEMENTO ESPECIFICO;110046,00
2021;0100010000;12C;15000;0101;PERSONAL FUNCIONARIO;5524,00
2021;0100010000;12C;16000;0101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);80000,00
2021;0100010000;22B;10000;0101;RETRIBUCIONES DINERARIAS;127026,00
2021;0100010000;22B;12000;0101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);238922,00
2021;0100010000;22B;12001;0101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);224100,00
2021;0100010000;22B;12002;0101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);203820,00
2021;0100010000;22B;12003;0101;SUELDO DEL SUBGRUPO C2 (ADMINISTRACIÓN GENERAL);636493,00
2021;0100010000;22B;12005;0101;TRIENIOS (ADMINISTRACIÓN GENERAL);360117,00
2021;0100010000;22B;12100;0101;COMPLEMENTO DE DESTINO;816105,00
2021;0100010000;22B;12101;0101;COMPLEMENTO ESPECIFICO;1467312,00
2021;0100010000;22B;13002;0101;SALARIOS GRUPO III;84838,00
2021;0100010000;22B;13003;0101;SALARIOS GRUPO IV;52027,00
2021;0100010000;22B;13005;0101;ANTIGUEDAD (INCLUIDO COMPLEM PERSONAL NO ABSORB);63240,00
2021;0100010000;22B;13100;0101;COMPLEMENTO DE CATEGORIA;77838,00
2021;0100010000;22B;13101;0101;COMPLEMENTO DE PUESTO DE TRABAJO;73954,00
2021;0100010000;22B;13102;0101;COMPLEMENTO DE CONVENIO;49913,00
2021;0100010000;22B;13109;0101;OTROS COMPLEMENTOS;13777,00
2021;0100010000;22B;15000;0101;PERSONAL FUNCIONARIO;82855,00
2021;0100010000;22B;15001;0101;PERSONAL LABORAL (ADMINISTRACIÓN GENERAL);3331,00
2021;0100010000;22B;15003;0101;PERSONAL DE EMERGENCIAS;65000,00
2021;0100010000;22B;15005;0101;PERSONAL DE SEGURIDAD;345862,00
2021;0100010000;22B;15200;0101;POR SERVICIOS EXTRAORDINARIOS;21300,00
2021;0100010000;22B;16000;0101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);1250000,00
2021;0100010000;22B;16202;0101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (AG);15225,00
2021;0100010000;22B;20400;0101;ARRENDAMIENTOS DE ELEMENTOS DE TRANSPORTE;1500,00
2021;0100010000;22B;21300;0101;MAQUINARIA;2000,00
2021;0100010000;22B;21400;0101;ELEMENTOS DE TRANSPORTE;3000,00
2021;0100010000;22B;21600;0101;EQUIPOS DE PROCESOS Y TRANSMISIONES DE DATOS;2400,00
2021;0100010000;22B;22000;0101;ORDINARIO NO INVENTARIABLE;6000,00
2021;0100010000;22B;22001;0101;PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES;18550,00
2021;0100010000;22B;22103;0101;COMBUSTIBLE;7000,00
2021;0100010000;22B;22104;0101;VESTUARIO;6000,00
2021;0100010000;22B;22109;0101;OTROS SUMINISTROS;1500,00
2021;0100010000;22B;22201;0101;POSTALES Y MENSAJERIA;4500,00
2021;0100010000;22B;22501;0101;LOCALES;2000,00
2021;0100010000;22B;22602;0101;INFORMACION, DIVULGACION Y PUBLICIDAD;18150,00
2021;0100010000;22B;22606;0101;REUNIONES, CONFERENCIAS Y CURSOS;15000,00
2021;0100010000;22B;22706;0101;ESTUDIOS Y TRABAJOS TECNICOS;129233,00
2021;0100010000;22B;48003;0101;A FUNDACIÓN DEL TORO LIDIA PARA PROYECTO ANDALUZ DE TAUROMAQUIA;172500,00
2021;0100010000;22B;48501;0101;ESCUELAS DE TAUROMAQUIA PEDRO ROMERO FORMACION ALUMNADO;230000,00
2021;0100010000;22B;48801;0101;COLEGIO PSICÓLOGOS AND OCC FORMAC Y ASESOR TEC SITUAC EMERGENCIA;30000,00
2021;0100010000;22B;48802;0101;COLEGIO PSIC AND ORIENT FORMAC ASES TECN SITUACIONES EMERGENCIA;30000,00
2021;0100010000;22B;66400;0101;ELEMENTOS DE TRANSPORTE;25000,00
2021;0100010000;31J;10000;0101;RETRIBUCIONES DINERARIAS;62388,00
2021;0100010000;31J;12000;0101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);47784,00
2021;0100010000;31J;12001;0101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);112050,00
2021;0100010000;31J;12002;0101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);42910,00
2021;0100010000;31J;12005;0101;TRIENIOS (ADMINISTRACIÓN GENERAL);60000,00
2021;0100010000;31J;12100;0101;COMPLEMENTO DE DESTINO;128616,00
2021;0100010000;31J;12101;0101;COMPLEMENTO ESPECIFICO;222878,00
2021;0100010000;31J;15000;0101;PERSONAL FUNCIONARIO;10357,00
2021;0100010000;31J;16000;0101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);155000,00
2021;0100010000;31J;22602;0101;INFORMACION, DIVULGACION Y PUBLICIDAD;35000,00
2021;0100010000;31J;22606;0101;REUNIONES, CONFERENCIAS Y CURSOS;50000,00
2021;0100010000;31J;22706;0101;ESTUDIOS Y TRABAJOS TECNICOS;80000,00
2021;0100010000;31J;22707;0101;EDICIÓN DE PUBLICACIONES;15000,00
2021;0100010000;31J;22709;0101;OTROS;10000,00
2021;0100010000;31J;23400;0101;CONSEJO DE COMUNIDADES ANDALUZAS;2000,00
2021;0100010000;31J;44600;0101;AL RESTO ENTINCL CN SUBSADMONREGCA AND(S1312);3000,00
2021;0100010000;31J;46100;0101;PREMIOS ANDALUCIA MIGRACIONES;3000,00
2021;0100010000;31J;47102;0101;ANDALUCIA MIGRACIONES;3000,00
2021;0100010000;31J;48102;0101;PREMIOS AND MIGRACIONES A FAM E INST SIN FINES LUCRO;6000,00
2021;0100010000;31J;48701;0101;PROMOCION;1400000,00
2021;0100010000;31J;60909;0101;OTRO INMOVILIZADO INMATERIAL;53056,00
2021;0100010000;31J;60909;0101;OTRO INMOVILIZADO INMATERIAL;66944,00
2021;0100010000;31J;76400;0101;INFRAESTRUCTURAS PARA ATENCIÓN A PERSONAS INMIGRANTES;800000,00
2021;0100010000;31J;76700;0101;A MANCOMUNIDADES;100000,00
2021;0100010000;31J;76800;0101;INFRAESTRUCTURAS PARA ATENCIÓN A PERSONAS INMIGRANTES;100000,00
2021;0100010000;52C;10000;0101;RETRIBUCIONES DINERARIAS;62388,00
2021;0100010000;52C;12000;0101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);254850,00
2021;0100010000;52C;12001;0101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);98044,00
2021;0100010000;52C;12002;0101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);107274,00
2021;0100010000;52C;12003;0101;SUELDO DEL SUBGRUPO C2 (ADMINISTRACIÓN GENERAL);18186,00
2021;0100010000;52C;12005;0101;TRIENIOS (ADMINISTRACIÓN GENERAL);104743,00
2021;0100010000;52C;12100;0101;COMPLEMENTO DE DESTINO;312394,00
2021;0100010000;52C;12101;0101;COMPLEMENTO ESPECIFICO;548343,00
2021;0100010000;52C;15000;0101;PERSONAL FUNCIONARIO;24166,00
2021;0100010000;52C;16000;0101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);403000,00
2021;0100010000;52C;16202;0101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (AG);6000,00
2021;0100010000;52C;21301;0101;INSTALACIONES;76000,00
2021;0100010000;52C;22001;0101;PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES;26215,00
2021;0100010000;52C;22606;0101;REUNIONES, CONFERENCIAS Y CURSOS;35029,00
2021;0100010000;52C;22612;0101;PUBLICIDAD INSTITUCIONAL;540000,00
2021;0100010000;52C;22616;0101;CONTRATOS DE PATROCINIO INSTITUCIONAL;100000,00
2021;0100010000;52C;22706;0101;ESTUDIOS Y TRABAJOS TECNICOS;120400,00
2021;0100010000;52C;22709;0101;OTROS;9200,00
2021;0100010000;52C;41301;0101;A LA AGENCIA PUBLICA EMPRESARIAL DE LA RADIO Y TELEVISION DE ANDALUCIA;6926000,00
2021;0100010000;52C;44350;0101;TF CANAL SUR RADIO Y TELEVISIÓN SA;133712050,00
2021;0100010000;52C;46002;0101;PREMIOS, CONCURSOS Y CERTAMENES;4000,00
2021;0100010000;52C;46003;0101;MANTENIMIENTO SERVICIO PÚBLICO RADIOFÓNICO MUNICIPAL;230000,00
2021;0100010000;52C;47000;0101;PREMIOS, CONCURSOS Y CERTÁMENES COMUNICACIÓN SOCIAL;8000,00
2021;0100010000;52C;47102;0101;DESARROLLO ACTIVIDADES PREVENCIÓN DESINFORMACIÓN;300000,00
2021;0100010000;52C;48000;0101;PREMIOS, CONCURSOS Y CERTÁMENES COMUNICACIÓN SOCIAL;12000,00
2021;0100010000;52C;48401;0101;ASOCEMISMUNR Y TV GASTOS FINANC COSTES SV COORDMEDIOS PUBLICOS;153500,00
2021;0100010000;52C;48404;0101;DESARROLLO ACTIVIDADES PREVENCIÓN DESINFORMACIÓN;100000,00
2021;0100010000;52C;60300;0101;MAQUINARIA;90000,00
2021;0100010000;52C;60905;0101;APLICACIONES INFORMATICAS DESARROLLADAS A MEDIDA;80000,00
2021;0100010000;52C;60909;0101;OTRO INMOVILIZADO INMATERIAL;13645592,00
2021;0100010000;52C;71301;0101;A LA AGENCIA PUBLICA EMPRESARIAL DE LA RADIO Y TELEVISION DE ANDALUCIA;940000,00
2021;0100010000;52C;74350;0101;TF CANAL SUR RADIO Y TELEVISIÓN SA;2550000,00
2021;0100010000;82A;10000;0101;RETRIBUCIONES DINERARIAS;209434,00
2021;0100010000;82A;11000;0101;RETRIBUCIONES;103139,00
2021;0100010000;82A;12000;0101;SUELDO DEL SUBGRUPO A1 (ADMINISTRACIÓN GENERAL);143353,00
2021;0100010000;82A;12001;0101;SUELDO DEL SUBGRUPO A2 (ADMINISTRACIÓN GENERAL);84038,00
2021;0100010000;82A;12002;0101;SUELDO DEL SUBGRUPO C1 (ADMINISTRACIÓN GENERAL);139456,00
2021;0100010000;82A;12005;0101;TRIENIOS (ADMINISTRACIÓN GENERAL);121397,00
2021;0100010000;82A;12100;0101;COMPLEMENTO DE DESTINO;250536,00
2021;0100010000;82A;12101;0101;COMPLEMENTO ESPECIFICO;453770,00
2021;0100010000;82A;13001;0101;SALARIOS GRUPO II;14225,00
2021;0100010000;82A;13005;0101;ANTIGUEDAD (INCLUIDO COMPLEM PERSONAL NO ABSORB);3165,00
2021;0100010000;82A;13100;0101;COMPLEMENTO DE CATEGORIA;6340,00
2021;0100010000;82A;13101;0101;COMPLEMENTO DE PUESTO DE TRABAJO;3320,00
2021;0100010000;82A;13102;0101;COMPLEMENTO DE CONVENIO;5603,00
2021;0100010000;82A;15000;0101;PERSONAL FUNCIONARIO;19333,00
2021;0100010000;82A;15001;0101;PERSONAL LABORAL (ADMINISTRACIÓN GENERAL);238,00
2021;0100010000;82A;16000;0101;SEGURIDAD SOCIAL (ADMINISTRACIÓN GENERAL);486880,00
2021;0100010000;82A;16202;0101;PREMIOS DE JUBILACION PERSONAL FUNCIONARIO (AG);21246,00
2021;0100010000;82A;22000;0101;ORDINARIO NO INVENTARIABLE;1010,00
2021;0100010000;82A;22001;0101;PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES;4000,00
2021;0100010000;82A;22201;0101;POSTALES Y MENSAJERIA;1150,00
2021;0100010000;82A;22302;0101;ENTES PRIVADOS;1825,00
2021;0100010000;82A;22606;0101;REUNIONES, CONFERENCIAS Y CURSOS;105750,00
2021;0100010000;82A;22608;0101;PREMIOS, CONCURSOS Y CERTAMENES;1500,00
2021;0100010000;82A;22611;0101;CUOTAS PARTICIP ENTY ORG NACIONALES E INTERNAC;82189,00
2021;0100010000;82A;22706;0101;ESTUDIOS Y TRABAJOS TECNICOS;44842,00
2021;0100010000;82A;22707;0101;EDICIÓN DE PUBLICACIONES;50000,00
2021;0100010000;82A;23400;0101;CONSEJO DE COMUNIDADES ANDALUZAS;18270,00
2021;0100010000;82A;40500;0101;CASA ARABE E INSTITUTO INTERNACIONAL;60000,00
2021;0100010000;82A;44103;0101;FOMENTO DE LA COOPERACION CON REGIONES PORTUGUESAS;120000,00
2021;0100010000;82A;44107;0101;UNIVERSIDAD DE CÓRDOBA GASTOS DEL CENTRO DE DOCUMENTACIÓN EUROPEA;60000,00
2021;0100010000;82A;44108;0101;UNIVERSIDAD DE GRANADA GASTOS DEL CENTRO DOCUMENTACIÓN EUROPEA;65000,00
2021;0100010000;82A;44109;0101;UNIVERSIDAD DE SEVILLA GASTOS DEL CENTRO DOCUMENTACIÓN EUROPEA;71250,00
2021;0100010000;82A;44110;0101;UNIVERSIDAD DE ALMERÍA CENTRO DE DOCUMENTACIÓN EUROPEA;25000,00
2021;0100010000;82A;44111;0101;UNIVERSIDAD DE SEVILLA CENTRO EUROPE DIRECT;25000,00
2021;0100010000;82A;44112;0101;UNIVERSIDAD ALMERÍA CAMPUS DE INTERNACIONALIZACION;20000,00
2021;0100010000;82A;44113;0101;UNIVERSIDAD CÁDIZ CAMPUS DE INTERNACIONALIZACION;20000,00
2021;0100010000;82A;44114;0101;UNIVERSIDAD CÓRDOBA CAMPUS DE INTERNACIONALIZACION;20000,00
2021;0100010000;82A;44115;0101;UNIVERSIDAD GRANADA CAMPUS DE INTERNACIONALIZACION;20000,00
2021;0100010000;82A;44116;0101;UNIVERSIDAD HUELVA CAMPUS DE INTERNACIONALIZACION;20000,00
2021;0100010000;82A;44117;0101;UNIVERSIDAD JAÉN CAMPUS DE INTERNACIONALIZACION;20000,00
2021;0100010000;82A;44118;0101;UNIVERSIDAD MÁLAGA CAMPUS DE INTERNACIONALIZACION;20000,00
2021;0100010000;82A;44119;0101;UNIVERSIDAD SEVILLA CAMPUS DE INTERNACIONALIZACION;20000,00
2021;0100010000;82A;44120;0101;UNIVERSIDAD PABLO DE OLAVIDE CAMPUS DE INTERNACIONALIZACIÓN;20000,00
2021;0100010000;82A;44121;0101;UNIVERSIDAD LOYOLA ANDALUCÍA CAMPUS DE INTERNACIONALIZACIÓN;20000,00
2021;0100010000;82A;44122;0101;UNIVERSIDAD INTERNACIONAL ANDALUCÍA CAMPUS DE INTERNACIONALIZACIÓN;20000,00
2021;0100010000;82A;44156;0101;A UNIVERSIDADES ANDALUZAS;1260337,00
2021;0100010000;82A;44366;0101;TF AGENCIA ANDALUZA DE PROMOCION EXTERIOR SA;11582640,00
2021;0100010000;82A;44486;0101;TF FUNDACIÓN PÚBLICA ANDALUZA BAREMBOIM-SAID;1013828,00
2021;0100010000;82A;44600;0101;FUND DE LAS TRES CULTURAS DEL MEDITERRANEO GASTOS DE FUNC Y DE ACT;1767404,00
2021;0100010000;82A;44802;0101;CONSEJO ANDALUZ DE CÁMARAS GASTOS DEL CENTRO EEN-CESEAND;25000,00
2021;0100010000;82A;46101;0101;FOMENTO DE LA COOPERACION CON REGIONES PORTUGUESAS;120000,00
2021;0100010000;82A;46104;0101;AYUNTAMIENTO DE ANDÚJAR CENTRO EUROPE DIRECT;25000,00
2021;0100010000;82A;46700;0101;MANCOMUN MUNICIPIOS CAMPO GIBRALTAR CENTRO EUROPE DIRECT;26457,00
2021;0100010000;82A;46802;0101;DIPUTACIÓN PROVINCIAL DE ALMERÍA CENTRO EUROPE DIRECT;25000,00
2021;0100010000;82A;46803;0101;DIPUTACIÓN PROVINCIAL DE CÓRDOBA CENTRO EUROPE DIRECT;25000,00
2021;0100010000;82A;46804;0101;DIPUTACIÓN PROVINCIAL DE GRANADA CENTRO EUROPE DIRECT;25000,00
2021;0100010000;82A;46805;0101;DIPUTACIÓN PROVINCIAL DE HUELVA CENTRO EUROPE DIRECT;25000,00
